player_given_name,player_surname,season_id,player_jumper_number,player_id,player_position,team_id,season_num
Caitlin,Gould,2022,1,CD_I1014599,Ruck,AD,7
Eloise,Jones,2022,2,CD_I1005258,Defender,AD,7
Amber,Ward,2022,3,CD_I1011115,Defender,AD,7
Zoe,Prowse,2022,4,CD_I1014663,Ruck,AD,7
Rachelle,Martin,2022,5,CD_I1011091,Midfielder,AD,7
Hannah,Button,2022,6,CD_I1011092,Forward,AD,7
Keeley,Kustermann,2022,7,CD_I1019456,Defender,AD,7
Najwa,Allen,2022,8,CD_I1014559,Defender,AD,7
Deni,Varnhagen,2022,9,CD_I1005251,Midfielder,AD,7
McKenzie,Dowrick,2022,9,CD_I1009894,Forward,AD,7
Ebony,Marinoff,2022,10,CD_I1005279,Midfielder,AD,7
Jasmine,Simmons,2022,11,CD_I1024293,Ruck,AD,7
Chelsea,Biddell,2022,12,CD_I1011080,Forward,AD,7
Kiera,Mueller,2022,13,CD_I1014662,Defender,AD,7
Stevie-Lee,Thompson,2022,14,CD_I1005386,Defender,AD,7
Danielle,Ponter,2022,15,CD_I1009794,Forward,AD,7
Ailish,Considine,2022,16,CD_I1013947,Forward,AD,7
Madison,Newman,2022,17,CD_I1011095,Defender,AD,7
Jasmyn,Hewett,2022,19,CD_I1010655,Ruck,AD,7
Jess,Waterhouse,2022,19,CD_I1011048,Defender,AD,7
Hannah,Munyard,2022,20,CD_I1011069,Midfielder,AD,7
Montana,McKinnon,2022,21,CD_I1007327,Ruck,AD,7
Lisa,Whiteley,2022,22,CD_I1011077,Defender,AD,7
Niamh,Kelly,2022,23,CD_I1018874,Midfielder,AD,7
Ashleigh,Woodland,2022,24,CD_I1005264,Forward,AD,7
Teah,Charlton,2022,25,CD_I1011057,Midfielder,AD,7
Chelsea,Randall,2022,26,CD_I998044,Defender,AD,7
Abbie,Ballard,2022,27,CD_I1011078,Forward,AD,7
Brooke,Tonon,2022,28,CD_I1019431,Defender,AD,7
Dayna,Cox,2022,31,CD_I1005956,Defender,AD,7
Marijana,Rajcic,2022,32,CD_I1007574,Defender,AD,7
Anne,Hatchard,2022,33,CD_I1005269,Midfielder,AD,7
Sarah,Allan,2022,39,CD_I1005285,Defender,AD,7
Emily,Bates,2022,1,CD_I998155,Midfielder,BL,7
Tahlia,Hickie,2022,2,CD_I1009844,Ruck,BL,7
Breanna,Koenen,2022,3,CD_I1005661,Defender,BL,7
Sharni,Webb,2022,4,CD_I1005634,Defender,BL,7
Jade,Ellenger,2022,5,CD_I1009828,Forward,BL,7
Lily,Postlethwaite,2022,6,CD_I1009824,Midfielder,BL,7
Gabrielle,Collingwood,2022,7,CD_I1009826,Forward,BL,7
Maggie,Harmer,2022,8,CD_I1021438,Defender,BL,7
Orla,O'Dwyer,2022,9,CD_I1019034,Midfielder,BL,7
Natalie,Grider,2022,10,CD_I1009836,Defender,BL,7
Phoebe,Monahan,2022,11,CD_I997659,Defender,BL,7
Sophie,Conway,2022,12,CD_I1009847,Forward,BL,7
Kate,Lutkins,2022,13,CD_I1005638,Defender,BL,7
Dakota,Davidson,2022,14,CD_I1019057,Forward,BL,7
Greta,Bodey,2022,15,CD_I1019035,Forward,BL,7
Bella,Smith,2022,16,CD_I1022689,Forward,BL,7
Isabel,Dawes,2022,17,CD_I1009833,Midfielder,BL,7
Alexandra,Anderson,2022,18,CD_I1005630,Midfielder,BL,7
Luka,Yoshida-Martin,2022,19,CD_I1024295,Forward,BL,7
Shannon,Campbell,2022,20,CD_I1007130,Defender,BL,7
Courtney,Hodder,2022,21,CD_I1009910,Forward,BL,7
Zimmorlei,Farquharson,2022,22,CD_I1009829,Forward,BL,7
Dee,Heslop,2022,23,CD_I1009827,Midfielder,BL,7
Lucinda,Pullar,2022,24,CD_I1024294,Defender,BL,7
Catherine,Svarc,2022,25,CD_I1019053,Midfielder,BL,7
Ella,Smith,2022,26,CD_I1022691,Midfielder,BL,7
Mikayla,Pauga,2022,27,CD_I1021436,Forward,BL,7
Charlotte,Mullins,2022,28,CD_I1021441,Midfielder,BL,7
Ruby,Svarc,2022,29,CD_I1016938,Forward,BL,7
Jesse,Wardlaw,2022,30,CD_I1009838,Forward,BL,7
Taylor,Smith,2022,31,CD_I1012989,Forward,BL,7
Kiara,Hillier,2022,32,CD_I1024573,Defender,BL,7
Amelia,Velardo,2022,1,CD_I1019887,Midfielder,CA,7
Jessica,Dal Pos,2022,2,CD_I296137,Defender,CA,7
Darcy,Vescio,2022,3,CD_I997663,Forward,CA,7
Keeley,Skepper,2022,4,CD_I1014991,Midfielder,CA,7
Abbie,McKay,2022,5,CD_I1013027,Forward,CA,7
Gabriella,Pound,2022,6,CD_I1007026,Defender,CA,7
Brooke,Walker,2022,7,CD_I1012558,Defender,CA,7
Vaomua,Laloifi,2022,8,CD_I1012595,Defender,CA,7
Kerryn,Peterson,2022,9,CD_I1009977,Defender,CA,7
Mimi,Hill,2022,10,CD_I1015047,Midfielder,CA,7
Annie,Lee,2022,11,CD_I1015195,Defender,CA,7
Jess,Good,2022,12,CD_I1022236,Ruck,CA,7
Lucy,McEvoy,2022,13,CD_I1009865,Forward,CA,7
Jessica,Jones,2022,15,CD_I1026019,Defender,CA,7
Breann,Moody,2022,16,CD_I1007023,Ruck,CA,7
Charlotte,Hammans,2022,17,CD_I1010105,Midfielder,CA,7
Madeline,Guerin,2022,18,CD_I1009888,Forward,CA,7
Lily,Goss,2022,20,CD_I1025995,Midfielder,CA,7
Mia,Austin,2022,22,CD_I1025564,Forward,CA,7
Daisy,Walker,2022,23,CD_I1015105,Defender,CA,7
Brooke,Vickers,2022,24,CD_I1019819,Defender,CA,7
Keeley,Sherar,2022,25,CD_I1019711,Forward,CA,7
Paige,Trudgeon,2022,26,CD_I1021793,Defender,CA,7
Imogen,Milford,2022,28,CD_I1012669,Forward,CA,7
Natalie,Plane,2022,32,CD_I1007025,Forward,CA,7
Serena,Gibbs,2022,33,CD_I1014887,Ruck,CA,7
Taylor,Ortlepp,2022,34,CD_I1029627,Forward,CA,7
Poppy,Schaap,2022,35,CD_I1015170,Forward,CA,7
Phoebe,McWilliams,2022,37,CD_I997689,Forward,CA,7
Elise,O'Dea,2022,46,CD_I998147,Midfielder,CA,7
Sabrina,Frederick,2022,1,CD_I1003019,Forward,CW,7
Chloe,Molloy,2022,2,CD_I1010263,Forward,CW,7
Brianna,Davey,2022,3,CD_I1003020,Midfielder,CW,7
Imogen,Barnett,2022,4,CD_I1022112,Forward,CW,7
Imogen,Evans,2022,5,CD_I1021457,Midfielder,CW,7
Jordyn,Allen,2022,6,CD_I997736,Defender,CW,7
Sarah,Rowe,2022,7,CD_I1013706,Forward,CW,7
Brittany,Bonnici,2022,8,CD_I997729,Midfielder,CW,7
Alana,Porter,2022,9,CD_I1015053,Defender,CW,7
Ashleigh,Brazill,2022,10,CD_I1010663,Defender,CW,7
Charlotte,Taylor,2022,11,CD_I1019817,Defender,CW,7
Stacey,Livingstone,2022,12,CD_I1007015,Defender,CW,7
Jaimee,Lambert,2022,13,CD_I1004415,Midfielder,CW,7
Aishling,Sheridan,2022,14,CD_I1017238,Forward,CW,7
Erica,Fowler,2022,15,CD_I1005663,Ruck,CW,7
Sarah,Sansonetti,2022,16,CD_I1013513,Defender,CW,7
Stephanie,Chiocci,2022,17,CD_I998158,Midfielder,CW,7
Ruby,Schleicher,2022,18,CD_I1007027,Defender,CW,7
Olivia,Barber,2022,19,CD_I1015018,Forward,CW,7
Eliza,James,2022,20,CD_I1015070,Forward,CW,7
Jordan,Membrey,2022,21,CD_I1005664,Forward,CW,7
Sophie,Casey,2022,22,CD_I1007139,Defender,CW,7
Lauren,Butler,2022,23,CD_I1010096,Defender,CW,7
Lauren,Brazzale,2022,24,CD_I1006996,Midfielder,CW,7
